date,bullish,neutral,bearish,spread
7-24-87,36.0%,50.0%,14.0%,0.22
7-31-87,26.0%,48.0%,26.0%,0
8-7-87,56.0%,15.0%,29.0%,0.27
8-14-87,45.0%,35.0%,20.0%,0.25
8-21-87,66.0%,28.0%,6.0%,0.6
8-28-87,52.0%,18.0%,30.0%,0.22
9-4-87,42.0%,17.0%,41.0%,0.01
9-11-87,50.0%,23.0%,27.0%,0.23
9-18-87,60.0%,29.0%,11.0%,0.49
9-25-87,53.0%,17.0%,30.0%,0.23
10-2-87,44.0%,26.0%,30.0%,0.14
10-9-87,46.0%,39.0%,15.0%,0.31
10-16-87,37.0%,30.0%,33.0%,0.04
10-23-87,39.0%,30.0%,31.0%,0.08
10-30-87,44.0%,23.0%,33.0%,0.11
11-6-87,47.0%,31.0%,22.0%,0.25
11-13-87,31.0%,41.0%,28.0%,0.03
11-20-87,39.0%,42.0%,19.0%,0.2
11-27-87,27.0%,46.0%,27.0%,0
12-4-87,25.0%,33.0%,42.0%,-0.17
12-11-87,23.0%,45.0%,32.0%,-0.09
12-18-87,33.0%,40.0%,27.0%,0.06
12-24-87,28.0%,52.0%,20.0%,0.08
12-31-87,25.0%,49.0%,26.0%,-0.01
1-8-88,34.0%,46.0%,20.0%,0.14
1-15-88,34.0%,40.0%,26.0%,0.08
1-22-88,21.0%,48.0%,31.0%,-0.1
1-29-88,26.0%,45.0%,29.0%,-0.03
2-5-88,32.0%,53.0%,15.0%,0.17
2-12-88,32.0%,46.0%,22.0%,0.1
2-19-88,27.0%,49.0%,24.0%,0.03
2-26-88,30.0%,51.0%,19.0%,0.11
3-4-88,38.0%,40.0%,22.0%,0.16
3-11-88,43.0%,40.0%,17.0%,0.26
3-18-88,41.0%,49.0%,10.0%,0.31
3-25-88,45.0%,38.0%,17.0%,0.28
4-1-88,35.0%,45.0%,20.0%,0.15
4-8-88,33.0%,48.0%,19.0%,0.14
4-15-88,23.0%,53.0%,24.0%,-0.01
4-22-88,23.0%,57.0%,20.0%,0.03
4-29-88,22.0%,48.0%,30.0%,-0.08
5-6-88,38.0%,42.0%,20.0%,0.18
5-13-88,19.0%,56.0%,25.0%,-0.06
5-20-88,23.0%,52.0%,25.0%,-0.02
5-27-88,28.0%,52.0%,20.0%,0.08
6-3-88,26.0%,62.0%,12.0%,0.14
6-10-88,28.0%,49.0%,23.0%,0.05
6-17-88,29.0%,50.0%,21.0%,0.08
6-24-88,33.0%,44.0%,23.0%,0.1
7-1-88,45.0%,38.0%,17.0%,0.28
7-8-88,35.0%,50.0%,15.0%,0.2
7-15-88,26.0%,37.0%,37.0%,-0.11
7-22-88,16.0%,58.0%,26.0%,-0.1
7-29-88,23.0%,54.0%,23.0%,0
8-5-88,21.0%,49.0%,30.0%,-0.09
8-12-88,26.0%,48.0%,26.0%,0
8-19-88,19.0%,53.0%,28.0%,-0.09
8-26-88,28.0%,40.0%,32.0%,-0.04
9-2-88,18.0%,43.0%,39.0%,-0.21
9-9-88,17.0%,52.0%,31.0%,-0.14
9-16-88,24.0%,46.0%,30.0%,-0.06
9-23-88,20.0%,53.0%,27.0%,-0.07
9-30-88,26.0%,44.0%,30.0%,-0.04
10-7-88,13.0%,49.0%,38.0%,-0.25
10-14-88,22.0%,46.0%,32.0%,-0.1
10-21-88,26.0%,51.0%,23.0%,0.03
10-28-88,40.0%,38.0%,22.0%,0.18
11-4-88,35.0%,46.0%,19.0%,0.16
11-11-88,23.0%,56.0%,21.0%,0.02
11-18-88,30.0%,34.0%,36.0%,-0.06
11-25-88,17.0%,44.0%,39.0%,-0.22
12-2-88,19.0%,47.0%,34.0%,-0.15
12-9-88,17.0%,44.0%,39.0%,-0.22
12-16-88,24.0%,54.0%,22.0%,0.02
12-23-88,22.0%,46.0%,32.0%,-0.1
12-30-88,24.0%,54.0%,22.0%,0.02
1-6-89,26.0%,51.0%,23.0%,0.03
1-13-89,36.0%,44.0%,20.0%,0.16
1-20-89,36.0%,47.0%,17.0%,0.19
1-27-89,32.0%,49.0%,19.0%,0.13
2-3-89,33.0%,44.0%,23.0%,0.1
2-10-89,43.0%,31.0%,26.0%,0.17
2-17-89,42.0%,41.0%,17.0%,0.25
2-24-89,29.0%,45.0%,26.0%,0.03
3-3-89,29.0%,35.0%,36.0%,-0.07
3-10-89,13.0%,52.0%,35.0%,-0.22
3-17-89,28.0%,43.0%,29.0%,-0.01
3-23-89,29.0%,41.0%,30.0%,-0.01
3-31-89,18.0%,42.0%,40.0%,-0.22
4-7-89,23.0%,45.0%,32.0%,-0.09
4-14-89,25.0%,42.0%,33.0%,-0.08
4-21-89,21.0%,51.0%,28.0%,-0.07
4-28-89,31.0%,40.0%,29.0%,0.02
5-5-89,30.0%,40.0%,30.0%,0
5-12-89,38.0%,43.0%,19.0%,0.19
5-19-89,43.0%,38.0%,19.0%,0.24
5-26-89,48.0%,31.0%,21.0%,0.27
6-2-89,42.0%,27.0%,31.0%,0.11
6-9-89,43.0%,34.0%,23.0%,0.2
6-16-89,32.0%,37.0%,31.0%,0.01
6-23-89,33.0%,22.0%,45.0%,-0.12
6-30-89,40.0%,34.0%,26.0%,0.14
7-7-89,37.0%,32.0%,31.0%,0.06
7-14-89,22.0%,30.0%,48.0%,-0.26
7-21-89,32.0%,39.0%,29.0%,0.03
7-28-89,41.0%,25.0%,34.0%,0.07
8-4-89,35.0%,30.0%,35.0%,0
8-11-89,53.0%,21.0%,26.0%,0.27
8-18-89,35.0%,28.0%,37.0%,-0.02
8-25-89,45.0%,24.0%,31.0%,0.14
9-1-89,34.0%,30.0%,36.0%,-0.02
9-8-89,30.0%,30.0%,40.0%,-0.1
9-15-89,31.0%,44.0%,25.0%,0.06
9-22-89,24.0%,37.0%,39.0%,-0.15
9-29-89,33.0%,38.0%,29.0%,0.04
10-6-89,24.0%,43.0%,33.0%,-0.09
10-13-89,28.0%,52.0%,20.0%,0.08
10-20-89,39.0%,28.0%,33.0%,0.06
10-27-89,36.0%,33.0%,31.0%,0.05
11-3-89,37.0%,31.0%,32.0%,0.05
11-10-89,27.0%,37.0%,36.0%,-0.09
11-17-89,24.0%,28.0%,48.0%,-0.24
11-22-89,27.0%,40.0%,33.0%,-0.06
12-1-89,28.0%,40.0%,32.0%,-0.04
12-8-89,31.0%,41.0%,28.0%,0.03
12-15-89,42.0%,30.0%,28.0%,0.14
12-22-89,36.0%,32.0%,32.0%,0.04
12-29-89,35.0%,31.0%,34.0%,0.01
1-5-90,40.0%,30.0%,30.0%,0.1
1-12-90,45.0%,38.0%,17.0%,0.28
1-19-90,31.0%,49.0%,20.0%,0.11
1-26-90,24.0%,38.0%,38.0%,-0.14
2-2-90,15.0%,37.0%,48.0%,-0.33
2-9-90,19.0%,30.0%,51.0%,-0.32
2-16-90,23.0%,43.0%,34.0%,-0.11
2-23-90,24.0%,38.0%,38.0%,-0.14
3-2-90,21.0%,37.0%,42.0%,-0.21
3-9-90,22.0%,42.0%,36.0%,-0.14
3-16-90,25.0%,35.0%,40.0%,-0.15
3-23-90,37.0%,39.0%,24.0%,0.13
3-30-90,34.0%,35.0%,31.0%,0.03
4-6-90,38.0%,37.0%,25.0%,0.13
4-12-90,27.0%,56.0%,17.0%,0.1
4-20-90,34.0%,43.0%,23.0%,0.11
4-27-90,28.0%,35.0%,37.0%,-0.09
5-4-90,20.0%,35.0%,45.0%,-0.25
5-11-90,28.0%,38.0%,34.0%,-0.06
5-18-90,37.0%,35.0%,28.0%,0.09
5-25-90,39.0%,32.0%,29.0%,0.1
6-1-90,37.0%,28.0%,35.0%,0.02
6-8-90,35.0%,35.0%,30.0%,0.05
6-15-90,43.0%,32.0%,25.0%,0.18
6-22-90,34.0%,32.0%,34.0%,0
6-29-90,31.0%,31.0%,38.0%,-0.07
7-6-90,28.0%,34.0%,38.0%,-0.1
7-13-90,40.0%,30.0%,30.0%,0.1
7-20-90,40.0%,30.0%,30.0%,0.1
7-27-90,52.0%,24.0%,24.0%,0.28
8-3-90,26.0%,28.0%,46.0%,-0.2
8-10-90,25.0%,21.0%,54.0%,-0.29
8-17-90,18.0%,23.0%,59.0%,-0.41
8-24-90,25.0%,24.0%,51.0%,-0.26
8-31-90,23.0%,16.0%,61.0%,-0.38
9-7-90,33.0%,18.0%,49.0%,-0.16
9-14-90,16.0%,33.0%,51.0%,-0.35
9-21-90,13.0%,31.0%,56.0%,-0.43
9-28-90,26.0%,20.0%,54.0%,-0.28
10-5-90,15.0%,26.0%,59.0%,-0.44
10-12-90,21.0%,27.0%,52.0%,-0.31
10-19-90,13.0%,20.0%,67.0%,-0.54
10-26-90,23.0%,19.0%,58.0%,-0.35
11-2-90,20.0%,36.0%,44.0%,-0.24
11-9-90,20.0%,32.0%,48.0%,-0.28
11-16-90,12.0%,33.0%,55.0%,-0.43
11-21-90,16.0%,37.0%,47.0%,-0.31
11-30-90,22.0%,33.0%,45.0%,-0.23
12-7-90,26.0%,33.0%,41.0%,-0.15
12-14-90,31.0%,31.0%,38.0%,-0.07
12-21-90,16.0%,34.0%,50.0%,-0.34
12-28-90,30.0%,30.0%,40.0%,-0.1
1-4-91,31.0%,39.0%,30.0%,0.01
