caldt,vwretd,vwretx,usdval,usdcnt
1925-12-31,,,,
1926-01-02,0.004297,0.004297,15236829.50,79
1926-01-04,-0.001357,-0.001357,15319686.50,80
1926-01-05,-0.004603,-0.004653,15298901.20,80
1926-01-06,0.000537,0.000537,15227711.50,80
1926-01-07,0.003907,0.003907,15235889.20,80
1926-01-08,-0.002693,-0.003221,15295415.10,80
1926-01-09,0.002218,0.002218,15056670.60,79
1926-01-11,-0.006515,-0.006608,15090059.60,79
1926-01-12,-0.001597,-0.001597,15179515.60,80
1926-01-13,0.003465,0.003465,15155273.80,80
1926-01-14,-0.005732,-0.005732,15207784.90,80
1926-01-15,-0.012153,-0.012979,15120621.10,80
1926-01-16,-0.000511,-0.000511,14924374.10,80
1926-01-18,0.004508,0.004508,14916741.10,80
1926-01-19,-0.011540,-0.011540,14983984.40,80
1926-01-20,0.006186,0.006186,14811064.50,80
1926-01-21,-0.008730,-0.008789,14902689.80,80
1926-01-22,0.006297,0.006297,14844743.00,80
1926-01-23,0.004987,0.004987,14584141.90,78
1926-01-25,0.005291,0.005260,14656873.90,78
1926-01-26,-0.005960,-0.005960,15090535.00,81
1926-01-27,0.006636,0.006636,14983715.10,80
1926-01-28,0.003137,0.003137,15083144.90,80
1926-01-29,0.009238,0.008616,15147018.90,81
1926-01-30,0.000009,0.000009,15277525.90,81
1926-02-01,-0.004103,-0.004593,15277664.00,81
1926-02-02,0.006010,0.006010,15207500.10,81
1926-02-03,0.004727,0.004727,15298903.00,81
1926-02-04,0.004780,0.004780,15371227.00,81
1926-02-05,-0.001882,-0.001882,15444695.70,81
1926-02-06,-0.000083,-0.000083,15425004.90,81
1926-02-08,-0.005627,-0.005919,15423724.80,81
1926-02-09,0.003226,0.003226,15332428.50,81
1926-02-10,0.003489,0.003001,15381888.40,81
1926-02-11,0.001654,0.001557,15428054.90,81
1926-02-13,0.000201,0.000201,15452080.50,81
1926-02-15,-0.019985,-0.020015,15455180.90,81
1926-02-16,0.004441,0.004441,15145851.00,81
1926-02-17,0.006048,0.006048,15213115.90,81
1926-02-18,0.001275,0.001258,15305130.80,81
1926-02-19,0.000347,-0.000143,15324389.90,81
1926-02-20,-0.001093,-0.001093,15322204.60,81
1926-02-23,-0.009545,-0.010135,15305459.00,81
1926-02-24,-0.004227,-0.004227,15155495.90,81
1926-02-25,-0.012444,-0.012787,15091426.10,81
1926-02-26,-0.012005,-0.013788,14898459.00,81
1926-02-27,0.001351,0.001351,14693045.20,81
1926-03-01,-0.015197,-0.015683,14533686.90,80
1926-03-02,-0.024114,-0.024114,14525876.50,81
1926-03-03,-0.016808,-0.017186,14352319.40,82
