caldt,prtnam,totret
1925-12-31,1,
1926-01-30,1,-0.004031
1926-02-27,1,-0.024657
1926-03-31,1,-0.052027
1926-04-30,1,0.037645
1926-05-28,1,0.013988
1926-06-30,1,0.053230
1926-07-31,1,0.038674
1926-08-31,1,0.035965
1926-09-30,1,0.013169
1926-10-30,1,-0.026200
1926-11-30,1,0.024104
1926-12-31,1,0.028869
1927-01-31,1,-0.002863
1927-02-28,1,0.039999
1927-03-31,1,0.015160
1927-04-30,1,0.012314
1927-05-31,1,0.054654
1927-06-30,1,-0.019028
1927-07-30,1,0.084970
1927-08-31,1,0.029062
1927-09-30,1,0.054010
1927-10-31,1,-0.043044
1927-11-30,1,0.061700
1927-12-31,1,0.013615
1928-01-31,1,-0.012530
1928-02-29,1,-0.005825
1928-03-31,1,0.097792
1928-04-30,1,0.036059
1928-05-31,1,0.018393
1928-06-30,1,-0.036219
1928-07-31,1,0.008266
1928-08-31,1,0.070484
1928-09-29,1,0.023279
1928-10-31,1,0.020478
1928-11-30,1,0.132795
1928-12-31,1,0.001342
1929-01-31,1,0.053507
1929-02-28,1,-0.002917
1929-03-28,1,0.008288
1929-04-30,1,0.019808
1929-05-31,1,-0.056761
1929-06-29,1,0.106978
1929-07-31,1,0.055657
1929-08-30,1,0.104477
1929-09-30,1,-0.059218
1929-10-31,1,-0.193676
1929-11-27,1,-0.130439
1929-12-31,1,0.027583
1930-01-31,1,0.051781
1930-02-28,1,0.028533
1930-03-31,1,0.072065
1930-04-30,1,-0.008771
1930-05-29,1,-0.009344
1930-06-30,1,-0.151470
1930-07-31,1,0.042508
1930-08-29,1,0.009255
1930-09-30,1,-0.117452
1930-10-31,1,-0.079524
1930-11-29,1,-0.028640
1930-12-31,1,-0.063594
1931-01-31,1,0.051597
1931-02-28,1,0.106052
1931-03-31,1,-0.055082
1931-04-30,1,-0.085603
1931-05-29,1,-0.123463
1931-06-30,1,0.130694
1931-07-31,1,-0.062993
1931-08-31,1,0.006915
1931-09-30,1,-0.277450
1931-10-31,1,0.076511
1931-11-30,1,-0.088333
1931-12-31,1,-0.128896
1932-01-30,1,-0.024977
1932-02-29,1,0.065984
1932-03-31,1,-0.107024
1932-04-30,1,-0.180382
1932-05-31,1,-0.196810
1932-06-30,1,-0.015073
1932-07-30,1,0.318381
1932-08-31,1,0.319174
1932-09-30,1,-0.022424
1932-10-31,1,-0.122668
1932-11-30,1,-0.054816
1932-12-31,1,0.055101
1933-01-31,1,0.009547
1933-02-28,1,-0.151175
1933-03-31,1,0.018629
1933-04-29,1,0.356872
1933-05-31,1,0.169712
1933-06-30,1,0.117013
1933-07-31,1,-0.089778
1933-08-31,1,0.110322
1933-09-30,1,-0.099455
1933-10-31,1,-0.077969
1933-11-29,1,0.108967
1933-12-30,1,0.014280
1934-01-31,1,0.094325
1934-02-28,1,-0.027783
1934-03-31,1,-0.003427
1934-04-30,1,-0.019706
1934-05-31,1,-0.063315
1934-06-30,1,0.027234
1934-07-31,1,-0.087644
1934-08-31,1,0.049269
1934-09-29,1,0.000185
1934-10-31,1,-0.019704
1934-11-30,1,0.072420
