DATE,PUT,return
1/3/07,923.6,NaN
1/4/07,925.1,0.00162408
1/5/07,921.33,-0.004075235
1/8/07,924.05,0.002952254
1/9/07,923.72,-0.000357124
1/10/07,925.29,0.001699649
1/11/07,929.75,0.00482011
1/12/07,932.79,0.003269696
1/16/07,933.97,0.001265022
1/17/07,934.33,0.000385451
1/18/07,933.7,-0.00067428
1/19/07,936.08,0.002548999
1/22/07,934.55,-0.001634476
1/23/07,936.4,0.001979562
1/24/07,939.68,0.003502777
1/25/07,935.14,-0.004831432
1/26/07,935.17,3.20808E-05
1/29/07,934.97,-0.000213865
1/30/07,937.85,0.003080313
1/31/07,941.03,0.003390734
2/1/07,942.69,0.001764025
2/2/07,943.65,0.001018362
2/5/07,944.04,0.000413289
2/6/07,944.6,0.000593195
2/7/07,945.23,0.000666949
2/8/07,945.43,0.000211589
2/9/07,944.3,-0.001195223
2/12/07,944.03,-0.000285926
2/13/07,946.66,0.002785928
2/14/07,947.32,0.000697188
2/15/07,947.69,0.000390576
2/16/07,948.2,0.000538151
2/20/07,950.06,0.001961611
2/21/07,949.93,-0.000136833
2/22/07,949.93,0
2/23/07,949.01,-0.000968492
2/26/07,949.05,4.21492E-05
2/27/07,921.6,-0.028923661
2/28/07,928.29,0.007259115
3/1/07,926.27,-0.002176044
3/2/07,916.09,-0.010990316
3/5/07,908.42,-0.00837254
3/6/07,922.05,0.015004073
3/7/07,919.94,-0.002288379
3/8/07,926.82,0.007478749
3/9/07,927.29,0.00050711
3/12/07,930.34,0.003289154
3/13/07,911.32,-0.020444139
3/14/07,917.61,0.006902076
3/15/07,920.59,0.003247567
3/16/07,920.64,5.4313E-05
3/19/07,926.08,0.005908933
3/20/07,929.22,0.003390636
3/21/07,933.28,0.004369256
3/22/07,933.18,-0.000107149
3/23/07,933.51,0.00035363
3/26/07,934.42,0.000974815
3/27/07,933.74,-0.000727724
3/28/07,931.47,-0.002431084
3/29/07,932.27,0.000858858
3/30/07,932.75,0.000514872
4/2/07,934.56,0.001940499
4/3/07,936.39,0.001958141
4/4/07,937.13,0.000790269
4/5/07,937.74,0.000650924
4/9/07,938.49,0.000799795
4/10/07,938.96,0.000500804
4/11/07,938.92,-4.26003E-05
4/12/07,939.41,0.000521876
4/13/07,939.66,0.000266124
