PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD,RETX,sprtrn
14593,12/12/80,AAPL,28.75,28.875,-28.8125,,C,,,,,C,0.014683
14593,12/15/80,AAPL,27.25,27.375,-27.3125,,-0.052061,,,,,-0.052061,0.001702
14593,12/16/80,AAPL,25.25,25.375,-25.3125,,-0.073227,,,,,-0.073227,0.008884
14593,12/17/80,AAPL,25.875,26,-25.9375,,0.024691,,,,,0.024691,0.017534
14593,12/18/80,AAPL,26.625,26.75,-26.6875,,0.028916,,,,,0.028916,0.000828
14593,12/19/80,AAPL,28.25,28.375,-28.3125,,0.06089,,,,,0.06089,0.005263
14593,12/22/80,AAPL,29.625,29.75,-29.6875,,0.048565,,,,,0.048565,0.015557
14593,12/23/80,AAPL,30.875,31,-30.9375,,0.042105,,,,,0.042105,-0.003535
14593,12/24/80,AAPL,32.5,32.625,-32.5625,,0.052525,,,,,0.052525,0.004287
14593,12/26/80,AAPL,35.5,35.625,-35.5625,,0.092131,,,,,0.092131,0.005078
14593,12/29/80,AAPL,36,36.125,-36.0625,,0.01406,,,,,0.01406,-0.011276
14593,12/30/80,AAPL,35.125,35.25,-35.1875,,-0.024263,,,,,-0.024263,0.002222
14593,12/31/80,AAPL,34.125,34.25,-34.1875,,-0.028419,,,,,-0.028419,0.003177
14593,1/2/81,AAPL,34.5,34.75,-34.625,,0.012797,,,,,0.012797,0.004272
14593,1/5/81,AAPL,33.75,33.875,-33.8125,,-0.023466,,,,,-0.023466,0.011955
14593,1/6/81,AAPL,32.25,32.375,-32.3125,,-0.044362,,,,,-0.044362,0.001087
14593,1/7/81,AAPL,30.875,31,-30.9375,,-0.042553,,,,,-0.042553,-0.02201
14593,1/8/81,AAPL,30.25,30.375,-30.3125,,-0.020202,,,,,-0.020202,-0.014954
14593,1/9/81,AAPL,31.875,32,-31.9375,,0.053608,,,,,0.053608,0.003156
14593,1/12/81,AAPL,31.625,31.875,-31.75,,-0.005871,,,,,-0.005871,0.0003
14593,1/13/81,AAPL,30.5,30.625,-30.5625,,-0.037402,,,,,-0.037402,-0.001723
14593,1/14/81,AAPL,30.625,30.75,-30.6875,,0.00409,,,,,0.00409,0.00135
14593,1/15/81,AAPL,31.25,31.5,-31.375,,0.022403,,,,,0.022403,0.005619
14593,1/16/81,AAPL,31,31.125,-31.0625,,-0.00996,,,,,-0.00996,0.004098
14593,1/19/81,AAPL,32.875,33,-32.9375,,0.060362,,,,,0.060362,-0.002968
14593,1/20/81,AAPL,31.875,32,-31.9375,,-0.030361,,,,,-0.030361,-0.020243
14593,1/21/81,AAPL,32.5,32.75,-32.625,,0.021526,,,,,0.021526,-0.002203
14593,1/22/81,AAPL,32.875,33.125,-33,,0.011494,,,,,0.011494,-0.008374
14593,1/23/81,AAPL,32.75,33,-32.875,,-0.003788,,,,,-0.003788,-0.00023
14593,1/26/81,AAPL,32.25,32.375,-32.3125,,-0.01711,,,,,-0.01711,-0.002995
14593,1/27/81,AAPL,32,32.25,-32.125,,-0.005803,,,,,-0.005803,0.009858
14593,1/28/81,AAPL,31,31.125,-31.0625,,-0.033074,,,,,-0.033074,-0.005949
14593,1/29/81,AAPL,29.875,30,-29.9375,,-0.036217,,,,,-0.036217,-0.000767
14593,1/30/81,AAPL,28.25,28.5,-28.375,,-0.052192,,,,,-0.052192,-0.005298
14593,2/2/81,AAPL,26.625,26.75,-26.6875,,-0.059471,,,,,-0.059471,-0.020378
14593,2/3/81,AAPL,27.625,27.75,-27.6875,,0.037471,,,,,0.037471,0.012213
14593,2/4/81,AAPL,28.625,28.75,-28.6875,,0.036117,,,,,0.036117,0.001012
14593,2/5/81,AAPL,28.625,28.875,-28.75,,0.002179,,,,,0.002179,0.008088
14593,2/6/81,AAPL,28.75,28.875,-28.8125,,0.002174,,,,,0.002174,0.007483
