PERMNO,date,RET
10917,19861204,
10917,19861209,C
10917,19861210,0
10917,19861211,0
10917,19861212,0
10917,19861215,0.015385
10917,19861216,0
10917,19861217,0
10917,19861218,0
10917,19861219,0
10917,19861222,0.030303
10917,19861223,0
10917,19861224,0
10917,19861226,0
10917,19861229,0
10917,19861230,0
10917,19861231,0.014706
10917,19870102,0
10917,19870105,0
10917,19870106,0
10917,19870107,0.028986
10917,19870108,0
10917,19870109,0
10917,19870112,0
10917,19870113,0
10917,19870114,0
10917,19870115,0
10917,19870116,0
10917,19870119,0.070423
10917,19870120,-0.065789
10917,19870121,0
10917,19870122,0
10917,19870123,0
10917,19870126,0
10917,19870127,0
10917,19870128,0
10917,19870129,0
10917,19870130,0.042254
10917,19870202,0.027027
10917,19870203,0.013158
10917,19870204,-0.006494
10917,19870205,0.03268
10917,19870206,-0.025316
10917,19870209,0.012987
10917,19870210,0
10917,19870211,0
10917,19870212,0
10917,19870213,0
10917,19870217,0
10917,19870218,0
10917,19870219,0.064103
10917,19870220,-0.060241
10917,19870223,0
10917,19870224,0
10917,19870225,0
10917,19870226,0
10917,19870227,0
10917,19870302,0
10917,19870303,0.00641
10917,19870304,0
10917,19870305,0.019108
10917,19870306,0
10917,19870309,-0.01875
10917,19870310,0.057325
10917,19870311,-0.054217
10917,19870312,0
10917,19870313,0
10917,19870316,0.006369
10917,19870317,-0.006329
10917,19870318,0.006369
10917,19870319,0.006329
10917,19870320,0
10917,19870323,0
10917,19870324,0
10917,19870325,0
10917,19870326,0
10917,19870327,0.006289
10917,19870330,-0.00625
10917,19870331,0
10917,19870401,0
10917,19870402,0
10917,19870403,-0.044025
10917,19870406,-0.013158
10917,19870407,0.066667
10917,19870408,0
10917,19870409,0
10917,19870410,0
10917,19870413,0
10917,19870414,0
10917,19870415,0
10917,19870416,0
10917,19870420,0.0125
10917,19870421,0
10917,19870422,0
10917,19870423,0
10917,19870424,0
10917,19870427,0
10917,19870428,0
10917,19870429,-0.061728
10917,19870430,0.065789
10917,19870501,0
10917,19870504,0
10917,19870505,-0.061728
10917,19870506,0.065789
10917,19870507,0
10917,19870508,0
10917,19870511,0
10917,19870512,0
10917,19870513,0
10917,19870514,-0.049383
10917,19870515,0.012987
10917,19870518,0.012821
10917,19870519,-0.025316
10917,19870520,0.025974
10917,19870521,-0.037975
10917,19870522,0
10917,19870526,0.013158
10917,19870527,0
10917,19870528,0
10917,19870529,0
10917,19870601,0
10917,19870602,0
10917,19870603,0
10917,19870604,0
10917,19870605,0
10917,19870608,0
10917,19870609,-0.007792
10917,19870610,0.013158
10917,19870611,0
10917,19870612,0
10917,19870615,0
10917,19870616,0
10917,19870617,0
10917,19870618,0
10917,19870619,0
10917,19870622,0
10917,19870623,0
10917,19870624,0
10917,19870625,0
10917,19870626,0
10917,19870629,0
10917,19870630,-0.012987
10917,19870701,0.013158
10917,19870702,0
10917,19870706,0.012987
10917,19870707,-0.025641
10917,19870708,-0.052632
10917,19870709,-0.027778
10917,19870710,0
10917,19870713,0.007143
10917,19870714,-0.007092
10917,19870715,0.028571
10917,19870716,0
10917,19870717,0
10917,19870720,-0.027778
10917,19870721,0.017857
10917,19870722,0.038596
10917,19870723,0
10917,19870724,-0.054054
10917,19870727,0.014286
10917,19870728,0.042254
10917,19870729,-0.027027
10917,19870730,0.055556
10917,19870731,0.026316
10917,19870803,-0.051282
10917,19870804,0.054054
10917,19870805,0.038462
10917,19870806,-0.037037
10917,19870807,0.089744
10917,19870810,-0.011765
10917,19870811,0
10917,19870812,0.011905
10917,19870813,0
10917,19870814,0.011765
10917,19870817,-0.011628
10917,19870818,-0.058824
10917,19870819,0.0625
10917,19870820,0
10917,19870821,0
10917,19870824,0
10917,19870825,0
10917,19870826,0
10917,19870827,-0.047059
10917,19870828,0
10917,19870831,-0.061728
10917,19870901,0.065789
10917,19870902,0
10917,19870903,0
10917,19870904,-0.012346
10917,19870908,0
10917,19870909,-0.05
10917,19870910,0.026316
10917,19870911,0
10917,19870914,0.025641
10917,19870915,0
10917,19870916,0.025
10917,19870917,-0.04878
10917,19870918,0
10917,19870921,0
10917,19870922,0
10917,19870923,0
10917,19870924,0
10917,19870925,0
10917,19870928,0
10917,19870929,0
10917,19870930,0.012821
10917,19871001,0
10917,19871002,0
10917,19871005,0
10917,19871006,0
10917,19871007,0
10917,19871008,0
10917,19871009,0
10917,19871012,0
10917,19871013,0
10917,19871014,0
10917,19871015,-0.063291
10917,19871016,0.067568
10917,19871019,-0.025316
10917,19871020,-0.064935
10917,19871021,0.041667
10917,19871022,0.013333
10917,19871023,-0.013158
10917,19871026,0.066667
10917,19871027,-0.0625
10917,19871028,-0.066667
10917,19871029,-0.028571
10917,19871030,0
10917,19871102,0
10917,19871103,0
10917,19871104,0
10917,19871105,0
10917,19871106,0
10917,19871109,0.058824
10917,19871110,-0.055556
10917,19871111,0
10917,19871112,0
10917,19871113,0
10917,19871116,0
10917,19871117,0
10917,19871118,0
10917,19871119,0
10917,19871120,0
10917,19871123,0
10917,19871124,0.058824
10917,19871125,-0.055556
10917,19871127,0
10917,19871130,0
10917,19871201,0
10917,19871202,0
10917,19871203,0
10917,19871204,0
10917,19871207,0
10917,19871208,0
10917,19871209,0
10917,19871210,0
10917,19871211,0
10917,19871214,0
10917,19871215,0
10917,19871216,0
10917,19871217,0
10917,19871218,0
10917,19871221,0
10917,19871222,0
10917,19871223,0
10917,19871224,0
10917,19871228,0
10917,19871229,0
10917,19871230,0.058824
10917,19871231,-0.055556
10917,19880104,0
10917,19880105,0.058824
10917,19880106,-0.013889
10917,19880107,0
10917,19880108,0
10917,19880111,0
10917,19880112,0
10917,19880113,0
10917,19880114,0
10917,19880115,0
10917,19880118,0
10917,19880119,0.011268
10917,19880120,-0.070423
10917,19880121,0.075758
10917,19880122,0.028169
10917,19880125,-0.013699
10917,19880126,0
10917,19880127,0
10917,19880128,0
10917,19880129,0
10917,19880201,0
10917,19880202,0.013889
10917,19880203,-0.013699
