DlyCalDt,INDNO,_NAME_,_LABEL_,COL1
19880601,1000080,DlyTotRet,Daily Total Return on Index,0.0163520112
19880602,1000080,DlyTotRet,Daily Total Return on Index,-0.003371924
19880603,1000080,DlyTotRet,Daily Total Return on Index,0.0045877381
19880606,1000080,DlyTotRet,Daily Total Return on Index,0.0027875701
19880607,1000080,DlyTotRet,Daily Total Return on Index,-0.004458657
19880608,1000080,DlyTotRet,Daily Total Return on Index,0.019252435
19880609,1000080,DlyTotRet,Daily Total Return on Index,-0.001087638
19880610,1000080,DlyTotRet,Daily Total Return on Index,0.0031877215
19880613,1000080,DlyTotRet,Daily Total Return on Index,0.0008430414
19880614,1000080,DlyTotRet,Daily Total Return on Index,0.008679067
19880615,1000080,DlyTotRet,Daily Total Return on Index,0.0009275085
19880616,1000080,DlyTotRet,Daily Total Return on Index,-0.012377987
19880617,1000080,DlyTotRet,Daily Total Return on Index,0.001668198
19880620,1000080,DlyTotRet,Daily Total Return on Index,-0.004836847
19880621,1000080,DlyTotRet,Daily Total Return on Index,0.00809862
19880622,1000080,DlyTotRet,Daily Total Return on Index,0.0122434354
19880623,1000080,DlyTotRet,Daily Total Return on Index,-0.001108426
19880624,1000080,DlyTotRet,Daily Total Return on Index,-0.001848718
19880627,1000080,DlyTotRet,Daily Total Return on Index,-0.013034393
19880628,1000080,DlyTotRet,Daily Total Return on Index,0.0093654498
19880629,1000080,DlyTotRet,Daily Total Return on Index,-0.003345789
19880630,1000080,DlyTotRet,Daily Total Return on Index,0.0084686334
19880701,1000080,DlyTotRet,Daily Total Return on Index,-0.00351232
19880705,1000080,DlyTotRet,Daily Total Return on Index,0.010904992
19880706,1000080,DlyTotRet,Daily Total Return on Index,-0.010270367
19880707,1000080,DlyTotRet,Daily Total Return on Index,-0.000275898
19880708,1000080,DlyTotRet,Daily Total Return on Index,-0.004531898
19880711,1000080,DlyTotRet,Daily Total Return on Index,0.0010646992
19880712,1000080,DlyTotRet,Daily Total Return on Index,-0.007499988
19880713,1000080,DlyTotRet,Daily Total Return on Index,0.0030131977
19880714,1000080,DlyTotRet,Daily Total Return on Index,0.0028866199
19880715,1000080,DlyTotRet,Daily Total Return on Index,0.0046133492
19880718,1000080,DlyTotRet,Daily Total Return on Index,-0.003869822
19880719,1000080,DlyTotRet,Daily Total Return on Index,-0.006931066
19880720,1000080,DlyTotRet,Daily Total Return on Index,0.0043218497
19880721,1000080,DlyTotRet,Daily Total Return on Index,-0.009874647
19880722,1000080,DlyTotRet,Daily Total Return on Index,-0.009765601
19880725,1000080,DlyTotRet,Daily Total Return on Index,0.0025570178
19880726,1000080,DlyTotRet,Daily Total Return on Index,0.0015415028
19880727,1000080,DlyTotRet,Daily Total Return on Index,-0.007998505
19880728,1000080,DlyTotRet,Daily Total Return on Index,0.0095648861
19880729,1000080,DlyTotRet,Daily Total Return on Index,0.0172638106
19880801,1000080,DlyTotRet,Daily Total Return on Index,0.001980136
19880802,1000080,DlyTotRet,Daily Total Return on Index,0.000116045
