PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD,RETX,sprtrn
85002,1997-06-04,AVII,6.37500,7.12500,6.50000,254358,C,6.50000,6.56250,7.12500,146,C,-0.006351
85002,1997-06-05,AVII,6.50000,6.75000,6.56250,172300,0.009615,6.50000,6.68750,6.62500,80,0.009615,0.003952
85002,1997-06-06,AVII,6.25000,6.68750,6.50000,86825,-0.009524,6.50000,6.62500,6.68750,58,-0.009524,0.017287
85002,1997-06-09,AVII,6.25000,6.62500,6.37500,92615,-0.019231,6.25000,6.43750,6.50000,57,-0.019231,0.005711
85002,1997-06-10,AVII,6.25000,6.56250,6.56250,56576,0.029412,6.50000,6.56250,6.43750,30,0.029412,0.002735
85002,1997-06-11,AVII,6.31250,6.56250,6.31250,41146,-0.038095,6.31250,6.50000,6.56250,24,-0.038095,0.004970
85002,1997-06-12,AVII,6.31250,6.50000,6.43750,48554,0.019802,6.37500,6.43750,6.50000,21,0.019802,0.015996
85002,1997-06-13,AVII,6.25000,6.43750,6.25000,50450,-0.029126,6.25000,6.37500,6.37500,20,-0.029126,0.011081
85002,1997-06-16,AVII,6.12500,6.37500,6.12500,44200,-0.020000,6.12500,6.25000,6.37500,22,-0.020000,0.000705
85002,1997-06-17,AVII,5.75000,6.12500,6.06250,111924,-0.010204,6.06250,6.12500,6.00000,44,-0.010204,0.000593
85002,1997-06-18,AVII,5.87500,6.31250,6.12500,56809,0.010309,6.12500,6.25000,6.06250,33,0.010309,-0.006004
85002,1997-06-19,AVII,6.12500,6.37500,6.25000,52470,0.020408,6.25000,6.31250,6.25000,36,0.020408,0.010044
85002,1997-06-20,AVII,6.12500,6.37500,6.25000,57260,0.000000,6.25000,6.31250,6.31250,30,0.000000,0.000791
85002,1997-06-23,AVII,6.12500,6.31250,6.12500,20250,-0.020000,6.12500,6.25000,6.25000,10,-0.020000,-0.022343
85002,1997-06-24,AVII,6.12500,6.31250,6.31250,26800,0.030612,6.31250,6.37500,6.12500,17,0.030612,0.020168
85002,1997-06-25,AVII,6.18750,6.43750,6.18750,72884,-0.019802,6.18750,6.31250,6.31250,40,-0.019802,-0.008200
85002,1997-06-26,AVII,6.12500,6.31250,6.25000,26800,0.010101,6.12500,6.25000,6.31250,15,0.010101,-0.005973
85002,1997-06-27,AVII,6.25000,6.81250,6.81250,110625,0.090000,6.75000,6.81250,6.25000,78,0.090000,0.004097
85002,1997-06-30,AVII,6.62500,7.25000,7.12500,93826,0.045872,7.12500,7.25000,6.81250,66,0.045872,-0.002434
85002,1997-07-01,AVII,7.12500,7.75000,7.50000,126289,0.052632,7.50000,7.62500,7.25000,113,0.052632,0.006654
85002,1997-07-02,AVII,7.00000,7.62500,7.25000,78419,-0.033333,7.25000,7.37500,7.62500,67,-0.033333,0.014590
85002,1997-07-03,AVII,7.18750,7.50000,7.18750,50700,-0.008621,7.18750,7.37500,7.37500,25,-0.008621,0.014258
85002,1997-07-07,AVII,7.06250,7.37500,7.25000,39380,0.008696,7.00000,7.25000,7.37500,31,0.008696,-0.005148
85002,1997-07-08,AVII,7.00000,7.25000,7.00000,57750,-0.034483,7.00000,7.12500,7.25000,37,-0.034483,0.007180
85002,1997-07-09,AVII,6.50000,7.12500,6.50000,33050,-0.071429,6.50000,6.68750,7.12500,31,-0.071429,-0.012201
85002,1997-07-10,AVII,6.68750,6.68750,6.68750,1700,0.028846,6.50000,6.68750,6.68750,3,0.028846,0.006876
85002,1997-07-11,AVII,6.50000,6.68750,6.50000,3900,-0.028037,6.50000,6.68750,6.68750,7,-0.028037,0.003174
85002,1997-07-14,AVII,6.50000,6.75000,6.50000,30230,0.000000,6.50000,6.62500,6.75000,25,0.000000,0.001855
85002,1997-07-15,AVII,6.37500,6.56250,6.50000,17100,0.000000,6.50000,6.62500,6.50000,15,0.000000,0.008036
85002,1997-07-16,AVII,6.50000,6.81250,6.78125,23380,0.043269,6.62500,6.87500,6.62500,18,0.043269,0.011699
85002,1997-07-17,AVII,6.81250,7.25000,7.00000,32575,0.032258,7.00000,7.25000,6.93750,32,0.032258,-0.005317
85002,1997-07-18,AVII,7.00000,7.25000,7.00000,23650,0.000000,7.00000,7.18750,7.25000,27,0.000000,-0.017507
85002,1997-07-21,AVII,6.75000,7.18750,6.75000,34530,-0.035714,6.75000,6.87500,7.00000,37,-0.035714,-0.002578
85002,1997-07-22,AVII,6.68750,6.93750,6.68750,24550,-0.009259,6.68750,6.93750,6.75000,15,-0.009259,0.023046
85002,1997-07-23,AVII,6.37500,6.87500,6.43750,26000,-0.037383,6.43750,6.62500,6.87500,20,-0.037383,0.002762
85002,1997-07-24,AVII,6.50000,6.75000,6.62500,53875,0.029126,6.50000,6.75000,6.50000,17,0.029126,0.003972
85002,1997-07-25,AVII,6.50000,6.75000,6.50000,19050,-0.018868,6.50000,6.56250,6.75000,16,-0.018868,-0.001585
85002,1997-07-28,AVII,6.50000,6.62500,6.56250,29180,0.009615,6.56250,6.68750,6.50000,23,0.009615,-0.002493
85002,1997-07-29,AVII,6.50000,6.68750,6.68750,25340,0.019048,6.50000,6.68750,6.68750,21,0.019048,0.006236
85002,1997-07-30,AVII,6.50000,6.75000,6.56250,30875,-0.018692,6.56250,6.68750,6.68750,24,-0.018692,0.010612
85002,1997-07-31,AVII,6.56250,6.75000,6.68750,60350,0.019048,6.62500,6.75000,6.56250,29,0.019048,0.002100
85002,1997-08-01,AVII,6.62500,6.75000,6.68750,12680,0.000000,6.68750,6.75000,6.75000,13,0.000000,-0.007492
85002,1997-08-04,AVII,6.50000,6.75000,6.50000,8933,-0.028037,6.50000,6.68750,6.68750,11,-0.028037,0.003336
85002,1997-08-05,AVII,6.43750,6.56250,6.43750,8175,-0.009615,6.43750,6.56250,6.50000,5,-0.009615,0.002178
85002,1997-08-06,AVII,6.43750,6.68750,6.62500,20003,0.029126,6.62500,6.68750,6.56250,14,0.029126,0.008348
85002,1997-08-07,AVII,6.50000,6.87500,6.87500,100500,0.037736,6.81250,6.93750,6.62500,49,0.037736,-0.009507
85002,1997-08-08,AVII,6.81250,6.93750,6.87500,8350,0.000000,6.87500,6.93750,6.81250,10,0.000000,-0.018556
85002,1997-08-11,AVII,6.81250,7.12500,7.00000,61300,0.018182,7.00000,7.12500,6.93750,41,0.018182,0.003706
85002,1997-08-12,AVII,7.12500,7.50000,7.43750,86563,0.062500,7.37500,7.50000,7.12500,50,0.062500,-0.011174
85002,1997-08-13,AVII,7.06250,7.50000,7.06250,23400,-0.050420,7.06250,7.31250,7.50000,29,-0.050420,-0.004868
85002,1997-08-14,AVII,7.06250,7.37500,7.37500,56100,0.044248,7.25000,7.37500,7.31250,31,0.044248,0.002983
85002,1997-08-15,AVII,7.12500,7.50000,7.12500,14700,-0.033898,7.12500,7.25000,7.50000,11,-0.033898,-0.025909
85002,1997-08-18,AVII,6.62500,7.25000,6.68750,27600,-0.061404,6.68750,6.87500,7.25000,23,-0.061404,0.012966
85002,1997-08-19,AVII,6.75000,6.87500,6.75000,24850,0.009346,6.75000,6.87500,6.78125,13,0.009346,0.014817
85002,1997-08-20,AVII,6.68750,6.81250,6.68750,26300,-0.009259,6.68750,6.81250,6.75000,19,-0.009259,0.014406
85002,1997-08-21,AVII,6.62500,7.00000,6.87500,34358,0.028037,6.87500,7.00000,6.68750,20,0.028037,-0.015223
85002,1997-08-22,AVII,6.87500,7.00000,6.87500,66200,0.000000,6.87500,7.00000,7.00000,24,0.000000,-0.001632
85002,1997-08-25,AVII,6.81250,7.06250,6.93750,43800,0.009091,6.81250,7.00000,6.93750,24,0.009091,-0.003660
85002,1997-08-26,AVII,6.81250,7.00000,7.00000,38307,0.009009,6.81250,7.00000,7.00000,27,0.009009,-0.007760
85002,1997-08-27,AVII,6.68750,7.00000,6.68750,43798,-0.044643,6.68750,6.93750,7.00000,21,-0.044643,0.000745
85002,1997-08-28,AVII,6.62500,6.93750,6.62500,21985,-0.009346,6.56250,6.81250,6.68750,22,-0.009346,-0.010977
85002,1997-08-29,AVII,6.56250,6.75000,6.56250,22100,-0.009434,6.56250,6.75000,6.62500,11,-0.009434,-0.004648
85002,1997-09-02,AVII,6.56250,6.81250,6.62500,7825,0.009524,6.62500,6.81250,6.75000,8,0.009524,0.031252
85002,1997-09-03,AVII,6.37500,6.87500,6.81250,112020,0.028302,6.68750,6.87500,6.50000,54,0.028302,0.000291
85002,1997-09-04,AVII,6.62500,6.93750,6.87500,83197,0.009174,6.68750,6.87500,6.87500,50,0.009174,0.003255
85002,1997-09-05,AVII,6.68750,6.87500,6.71875,21133,-0.022727,6.75000,6.87500,6.87500,19,-0.022727,-0.001955
85002,1997-09-08,AVII,6.75000,6.87500,6.81250,31412,0.013953,6.81250,6.87500,6.75000,19,0.013953,0.002314
85002,1997-09-09,AVII,6.75000,6.87500,6.87500,29094,0.009174,6.75000,6.87500,6.87500,24,0.009174,0.002599
85002,1997-09-10,AVII,6.68750,6.87500,6.87500,35010,0.000000,6.68750,6.87500,6.87500,20,0.000000,-0.015627
85002,1997-09-11,AVII,6.68750,6.87500,6.71875,30734,-0.022727,6.68750,6.81250,6.68750,14,-0.022727,-0.007007
85002,1997-09-12,AVII,6.62500,6.81250,6.62500,47100,-0.013953,6.62500,6.81250,6.68750,19,-0.013953,0.012404
85002,1997-09-15,AVII,6.62500,6.87500,6.87500,7550,0.037736,6.62500,6.87500,6.81250,8,0.037736,-0.004481
85002,1997-09-16,AVII,6.62500,6.87500,6.71875,71000,-0.022727,6.68750,6.81250,6.87500,16,-0.022727,0.028127
85002,1997-09-17,AVII,6.68750,7.00000,6.93750,28950,0.032558,6.93750,7.00000,6.68750,26,0.032558,-0.002792
85002,1997-09-18,AVII,6.87500,7.00000,6.87500,93745,-0.009009,6.87500,7.00000,7.00000,32,-0.009009,0.004549
85002,1997-09-19,AVII,6.87500,7.06250,6.93750,23281,0.009091,6.93750,7.06250,6.87500,14,0.009091,0.003399
85002,1997-09-22,AVII,6.93750,7.06250,6.93750,35100,0.000000,6.93750,7.00000,7.06250,23,0.000000,0.005176
85002,1997-09-23,AVII,6.87500,7.00000,6.87500,32057,-0.009009,6.87500,7.00000,7.00000,31,-0.009009,-0.003663
85002,1997-09-24,AVII,6.87500,7.00000,6.87500,24873,0.000000,6.87500,7.00000,7.00000,16,0.000000,-0.007826
85002,1997-09-25,AVII,6.87500,7.50000,7.50000,106422,0.090909,7.25000,7.50000,6.87500,61,0.090909,-0.006956
85002,1997-09-26,AVII,7.37500,7.75000,7.50000,106129,0.000000,7.43750,7.50000,7.75000,88,0.000000,0.007794
85002,1997-09-29,AVII,7.37500,7.50000,7.37500,19545,-0.016667,7.37500,7.50000,7.50000,23,-0.016667,0.008591
85002,1997-09-30,AVII,7.06250,7.50000,7.18750,51310,-0.025424,7.06250,7.18750,7.50000,43,-0.025424,-0.006357
85002,1997-10-01,AVII,7.00000,7.43750,7.43750,31450,0.034783,7.31250,7.37500,7.06250,25,0.034783,0.008582
85002,1997-10-02,AVII,7.37500,7.62500,7.43750,85233,0.000000,7.37500,7.50000,7.50000,59,0.000000,0.005286
85002,1997-10-03,AVII,7.43750,8.50000,8.25000,117850,0.109244,8.25000,8.50000,7.50000,87,0.109244,0.004758
85002,1997-10-06,AVII,8.37500,9.18750,8.93750,277615,0.083333,8.93750,9.00000,8.62500,218,0.083333,0.007938
85002,1997-10-07,AVII,8.93750,9.87500,9.50000,314507,0.062937,9.37500,9.50000,9.12500,210,0.062937,0.010723
85002,1997-10-08,AVII,8.81250,9.62500,9.25000,184250,-0.026316,9.18750,9.25000,9.56250,117,-0.026316,-0.009439
85002,1997-10-09,AVII,8.75000,9.37500,8.87500,153915,-0.040541,8.87500,9.00000,9.37500,65,-0.040541,-0.003306
85002,1997-10-10,AVII,8.81250,9.37500,9.12500,76550,0.028169,9.12500,9.25000,8.93750,62,0.028169,-0.003750
85002,1997-10-13,AVII,9.00000,9.25000,9.12500,60270,0.000000,9.12500,9.25000,9.12500,47,0.000000,0.001158
85002,1997-10-14,AVII,8.50000,9.06250,8.75000,30280,-0.041096,8.75000,9.00000,9.06250,40,-0.041096,0.002252
85002,1997-10-15,AVII,8.75000,9.12500,9.00000,20062,0.028571,9.00000,9.12500,8.75000,28,0.028571,-0.004700
85002,1997-10-16,AVII,8.75000,9.12500,8.93750,46197,-0.006944,8.75000,8.93750,9.12500,25,-0.006944,-0.010842
85002,1997-10-17,AVII,8.56250,8.93750,8.62500,56150,-0.034965,8.56250,8.75000,8.93750,32,-0.034965,-0.011610
85002,1997-10-20,AVII,8.62500,8.93750,8.75000,44795,0.014493,8.75000,8.93750,8.87500,28,0.014493,0.012127
85002,1997-10-21,AVII,8.75000,9.12500,9.00000,56035,0.028571,8.87500,9.12500,8.75000,31,0.028571,0.017444
85002,1997-10-22,AVII,8.87500,9.37500,9.25000,79175,0.027778,9.25000,9.37500,9.00000,28,0.027778,-0.003898
85002,1997-10-23,AVII,8.50000,9.00000,8.75000,49375,-0.054054,8.62500,8.75000,8.87500,40,-0.054054,-0.018379
85002,1997-10-24,AVII,8.62500,9.00000,8.62500,46174,-0.014286,8.50000,8.75000,8.75000,25,-0.014286,-0.009519
85002,1997-10-27,AVII,7.50000,8.50000,7.56250,44175,-0.123188,7.50000,7.87500,8.50000,46,-0.123188,-0.068667
85002,1997-10-28,AVII,6.79688,7.75000,7.75000,79420,0.024793,7.62500,7.75000,6.79688,61,0.024793,0.051164
85002,1997-10-29,AVII,7.87500,8.37500,8.37500,46885,0.080645,8.25000,8.31250,7.87500,37,0.080645,-0.002918
85002,1997-10-30,AVII,7.93750,8.31250,8.31250,20800,-0.007463,8.12500,8.25000,8.00000,16,-0.007463,-0.016841
85002,1997-10-31,AVII,8.00000,8.37500,8.25000,21525,-0.007519,8.00000,8.31250,8.34375,19,-0.007519,0.012106
85002,1997-11-03,AVII,8.00000,8.37500,8.25000,20830,0.000000,8.12500,8.37500,8.00000,23,0.000000,0.026645
85002,1997-11-04,AVII,8.00000,8.87500,8.87500,38150,0.075758,8.75000,9.00000,8.00000,35,0.075758,0.001885
85002,1997-11-05,AVII,9.00000,9.87500,9.31250,287762,0.049296,9.25000,9.37500,9.37500,170,0.049296,0.002126
85002,1997-11-06,AVII,9.00000,9.50000,9.12500,80322,-0.020134,9.12500,9.31250,9.50000,55,-0.020134,-0.005017
85002,1997-11-07,AVII,8.25000,8.75000,8.75000,39767,-0.041096,8.56250,8.75000,8.75000,41,-0.041096,-0.011215
85002,1997-11-10,AVII,8.50000,8.75000,8.75000,18175,0.000000,8.50000,8.75000,8.75000,15,0.000000,-0.006879
85002,1997-11-11,AVII,8.62500,9.50000,8.75000,48984,0.000000,8.81250,9.00000,8.75000,52,0.000000,0.002877
85002,1997-11-12,AVII,8.50000,9.00000,8.50000,92100,-0.028571,8.50000,8.75000,8.81250,48,-0.028571,-0.019290
85002,1997-11-13,AVII,8.00000,8.87500,8.12500,33590,-0.044118,8.00000,8.12500,8.75000,32,-0.044118,0.011811
85002,1997-11-14,AVII,8.12500,8.25000,8.12500,18266,0.000000,8.12500,8.25000,8.12500,16,0.000000,0.012753
85002,1997-11-17,AVII,8.12500,8.62500,8.18750,29271,0.007692,8.18750,8.37500,8.37500,28,0.007692,0.019228
85002,1997-11-18,AVII,8.12500,8.37500,8.12500,23125,-0.007634,8.25000,8.37500,8.37500,16,-0.007634,-0.008423
85002,1997-11-19,AVII,8.25000,8.75000,8.43750,44305,0.038462,8.37500,8.50000,8.25000,29,0.038462,0.006779
85002,1997-11-20,AVII,8.37500,8.75000,8.50000,34972,0.007407,8.50000,8.56250,8.62500,35,0.007407,0.015234
85002,1997-11-21,AVII,8.25000,8.50000,8.37500,22800,-0.014706,8.31250,8.37500,8.37500,17,-0.014706,0.004286
85002,1997-11-24,AVII,8.12500,8.50000,8.25000,61803,-0.014925,8.25000,8.37500,8.25000,28,-0.014925,-0.017049
85002,1997-11-25,AVII,8.06250,8.43750,8.06250,20920,-0.022727,8.00000,8.25000,8.18750,20,-0.022727,0.004384
85002,1997-11-26,AVII,8.00000,8.31250,8.06250,13033,0.000000,8.06250,8.31250,8.00000,16,0.000000,0.000862
85002,1997-11-28,AVII,8.00000,8.06250,8.04688,13900,-0.001938,8.00000,8.25000,8.06250,7,-0.001938,0.003951
85002,1997-12-01,AVII,7.87500,8.37500,8.00000,27425,-0.005825,8.00000,8.37500,8.00000,18,-0.005825,0.020274
85002,1997-12-02,AVII,7.75000,8.37500,7.75000,27812,-0.031250,7.75000,7.87500,8.37500,34,-0.031250,-0.003170
85002,1997-12-03,AVII,7.50000,7.87500,7.68750,34035,-0.008065,7.68750,7.81250,7.87500,27,-0.008065,0.005238
85002,1997-12-04,AVII,7.12500,7.75000,7.18750,55349,-0.065041,7.18750,7.25000,7.75000,51,-0.065041,-0.003757
85002,1997-12-05,AVII,6.62500,7.25000,7.12500,79066,-0.008696,7.12500,7.25000,7.06250,78,-0.008696,0.010986
85002,1997-12-08,AVII,7.12500,7.81250,7.62500,33974,0.070175,7.31250,7.62500,7.25000,43,0.070175,-0.001443
85002,1997-12-09,AVII,7.12500,7.87500,7.18750,49331,-0.057377,7.12500,7.50000,7.50000,58,-0.057377,-0.006708
85002,1997-12-10,AVII,7.12500,7.50000,7.12500,14775,-0.008696,7.12500,7.37500,7.12500,25,-0.008696,-0.006139
85002,1997-12-11,AVII,7.00000,7.25000,7.12500,33224,0.000000,7.12500,7.25000,7.00000,35,0.000000,-0.015313
85002,1997-12-12,AVII,7.06250,7.25000,7.06250,6180,-0.008772,7.06250,7.25000,7.12500,11,-0.008772,-0.001623
85002,1997-12-15,AVII,6.81250,7.25000,6.93750,34838,-0.017699,6.81250,6.93750,7.12500,31,-0.017699,0.010489
85002,1997-12-16,AVII,6.68750,7.06250,7.06250,43100,0.018018,6.93750,7.06250,6.81250,31,0.018018,0.004827
85002,1997-12-17,AVII,7.00000,7.25000,7.06250,66110,0.000000,6.87500,7.12500,7.12500,17,0.000000,-0.002583
